name_track,artist_track,uri_track,popularity,danceability
Journey To The Center of the Mind,The Amboy Dukes,spotify:track:5eQL5AQ3iNI4Hqq6TqZ2xd,51,32
"Bend Me, Shape Me",American Breed,spotify:track:69vNur9jXfJZRUdLlMXxhH,19,62
House Of The Rising Sun,The Animals,spotify:track:7BY005dacJkbO6EPiOh2wb,71,30
Don't Let Me Be Misunderstood,The Animals,spotify:track:7vYA9ET5AUqJt5pBbhKmcB,57,51
We Gotta Get Out Of This Place - UK Single Version,The Animals,spotify:track:5geF5xzPGHxpmk9BDBHphZ,52,53
It's My Life,The Animals,spotify:track:7yGR8R1HgQJeW6s3KRuyGS,50,55
Bring It On Home To Me,The Animals,spotify:track:56OdLFVSIGJdtVpHrAKkd4,39,46
Boom Boom,The Animals,spotify:track:3RwomkUaNHS0gFs3QqgudU,37,43
Don't Bring Me Down,The Animals,spotify:track:1Nt0O2VIAhUTRIeQfaPhoZ,30,50
Inside - Looking Out,The Animals,spotify:track:7crgweiPg38lEwViU8EPPI,35,30
Now That You've Lost Me,B.B. King,spotify:track:1wlJOagvtfXjnt3kPJjED3,8,58
Confessin' The Blues,B.B. King,spotify:track:1rv1DreUDVLn4j0LqmEfIe,28,65
The Thrill Is Gone,B.B. King,spotify:track:4NQfrmGs9iQXVQI9IpRhjM,62,55
"No Money, No Luck Blues",B.B. King,spotify:track:7IeePSkHyhykY6dXmNLhAa,26,64
Roll On Down The Highway,Bachman-Turner Overdrive,spotify:track:5wxJGsXmsgDYkzDHrVoCdD,28,50
Hey You,Bachman-Turner Overdrive,spotify:track:2qhZq1vxzIKMALPc3sKLCA,28,49
Takin' Care Of Business,Bachman-Turner Overdrive,spotify:track:0ZaJ4bQyz5fiwcGmITnaVH,30,73
You Ain't Seen Nothing Yet - Single Version,Bachman-Turner Overdrive,spotify:track:6D8hZtbS4ul6jYQRICqRAO,55,51
Let It Ride,Bachman-Turner Overdrive,spotify:track:6bYZsF6rmZ2E2WfUzdxSLQ,26,63
Can't Get Enough - 2015 Remaster,Bad Company,spotify:track:6n5lHdpuBDdA7pYDpiKzEI,59,64
Rock Steady - 2015 Remaster,Bad Company,spotify:track:2WIznWX1q8Z5y2Xc69nQfB,48,68
Ready for Love - 2015 Remaster,Bad Company,spotify:track:08JVaI77aIffN0wNjTOG4b,52,57
Don't Let Me Down - 2015 Remaster,Bad Company,spotify:track:2w6jgf0lsyqGEnWCaQ4vCK,31,50
Bad Company - 2015 Remaster,Bad Company,spotify:track:36vTL8WP4ZoD1bbUaW0V3E,64,55
Movin' On - 2015 Remaster,Bad Company,spotify:track:2xmQ5QZ7hYl1QqJlqNLFdA,40,64
Seagull - 2015 Remaster,Bad Company,spotify:track:6jA05EM7TTFpWKwBQr5Isf,50,37
Burnin' Sky - 2017 Remaster,Bad Company,spotify:track:7rNo0ijkYkSkVbi1LL4aO5,49,44
Feel like Makin' Love - 2009 Remaster,Bad Company,spotify:track:48g0JAGj3vmKL6JfEL7y63,41,56
Run with the Pack - 2009 Remaster,Bad Company,spotify:track:3D4WRN3K2eJKA1pBVk9DqZ,25,54
Rock 'n' Roll Fantasy - 2009 Remaster,Bad Company,spotify:track:6phjC8JVoUxeRcuPEGrbYq,31,61
Electricland - 2009 Remaster,Bad Company,spotify:track:6zBFaST5m1DJdvOaluVlgZ,29,53
The Weight - Remastered 2000,The Band,spotify:track:0P7DoyGrr4Wp9w5TotEtUC,71,63
Up On Cripple Creek - Remastered 2000,The Band,spotify:track:60VcYHxoyOdZyFb1EaKJdN,0,72
The Night They Drove Old Dixie Down - Remastered 2000,The Band,spotify:track:2x0supcZhd6NEH1nem9DnR,0,51
Across The Great Divide - Remastered 2000,The Band,spotify:track:35Myb6spNkKlRsZQcm95mP,0,72
Come Together - Remastered 2009,The Beatles,spotify:track:2EqlS6tkEnglzr7tkKAAYD,77,53
Something - Remastered 2009,The Beatles,spotify:track:0pNeVovbiZHkulpGeOx1Gj,71,40
Oh! Darling - Remastered 2009,The Beatles,spotify:track:2mxByJWOajjiVsLWjNXvDJ,67,42
