name_track,artist_track,uri_track,popularity,tempo,genres,urlImage
The Day I Tried To Live,Soundgarden,spotify:track:78YJJJH55MSyk7547100sW,57,133,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",https://i.scdn.co/image/ab67616d00004851ae6d8e36136353d550b2587d
Ship To Wreck - Live At Madison Square Garden,Florence + The Machine,spotify:track:4e1MMJ3moEKXALH8JSfKP2,47,142,"baroque pop, pop, uk alternative pop",https://i.scdn.co/image/ab67616d0000485120bdd2559b75be3f3fb498b8
Child in Time,Deep Purple,spotify:track:21cp8L9Pei4AgysZVihjSv,54,127,"album rock, blues rock, classic rock, hard rock, metal, rock",https://i.scdn.co/image/ab67616d0000485125b36a6170824fefd38d337e
Nancy Boy,Placebo,spotify:track:3CfbvqIrSOuB142hqFM2mf,51,90,reggaeton mexicano,https://i.scdn.co/image/ab67616d000048519710d6b9be102de728f6e26f
Heavy Cross,Gossip,spotify:track:4N6R6yqkFUTyF3AYOdR0T7,53,120,"australian psych, neo-psychedelic",https://i.scdn.co/image/ab67616d00004851ff81dbdad78a567e86a64d72
Futureproof,Nothing But Thieves,spotify:track:68G22FmZ30XgaRh00pKIeV,49,171,"alternative pop rock, modern alternative rock, modern rock, rock",https://i.scdn.co/image/ab67616d00004851b0e84acf8d53f461ebbef378
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,68,206,"dance pop, pop",https://i.scdn.co/image/ab67616d00004851a7c7f94cfccd5ab6de233916
Best of You,Foo Fighters,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,75,130,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",https://i.scdn.co/image/ab67616d000048516c44679425e2695001b35d72
Loser,Beck,spotify:track:5NTZM8YYeKM2YsGSffVIge,66,171,"alt z, dance pop, electropop, pop, post-teen pop",https://i.scdn.co/image/ab67616d0000485154196f32f292346d0ad9b528
Breaking the Habit,Linkin Park,spotify:track:3dxiWIBVJRlqh9xk144rf4,70,100,"alternative metal, nu metal, post-grunge, rap metal",https://i.scdn.co/image/ab67616d0000485189a8fab8bf8cd2b77da1fd17
Daughter - Remastered,Pearl Jam,spotify:track:53eJFr4Mfbw5PXJ01K6cFw,67,97,"alternative rock, grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851777344aba9d5b5785b4593a5
The Day After Tomorrow,Saybia,spotify:track:6yWdQAiiIAMatznZ8vwteF,42,152,danish pop rock,https://i.scdn.co/image/ab67616d000048519006fdc54d3e0fc5aad31062
Believe,K's Choice,spotify:track:6DvoavWjwjNzFBb2JkjtG8,35,97,"alternative pop, belgian rock, dutch rock, lilith",https://i.scdn.co/image/ab67616d00004851b4bffb542ffd650bfea71228
Boys Don't Cry,The Cure,spotify:track:1QFh8OH1e78dGd3VyJZCAC,77,169,"art pop, dance pop, pop",https://i.scdn.co/image/ab67616d00004851ca40908d43a2a80fb34de8a3
A Hunger In Your Haunt,Biffy Clyro,spotify:track:3SCDUKP0PpE3ePJwNDoCyL,50,177,"modern rock, rock, scottish rock",https://i.scdn.co/image/ab67616d000048510ef823300d2e113079842c2f
Pyro,Kings of Leon,spotify:track:0umDVf77ygI5RiVp9OvNDj,67,115,"modern rock, rock",https://i.scdn.co/image/ab67616d00004851496ed45f8f3dddaf410fd86e
Letting The Cables Sleep - Remastered,Bush,spotify:track:4FUZLPec46uY6nFn4NX6Yb,45,204,"alternative metal, alternative rock, grunge, modern rock, nu metal, pop rock, post-grunge, rap rock, rock",https://i.scdn.co/image/ab67616d0000485123d47ee433e44406df42d7b6
Arabella,Arctic Monkeys,spotify:track:7nzsY8vlnKdvGOEE0rjAXZ,77,180,"garage rock, modern rock, permanent wave, rock, sheffield indie",https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163
Sweet Child O' Mine,Guns N' Roses,spotify:track:7o2CTH4ctstm8TNelqjb51,83,125,"glam metal, hard rock, rock",https://i.scdn.co/image/ab67616d0000485168384dd85fd5e95831252f60
Fake Empire,The National,spotify:track:65aZDJQwNllPxuLPixJ4YO,58,102,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851c7a2d8675f75bc64fbf137d2
Brazen (Weep),Skunk Anansie,spotify:track:6y1aQnRygCMp8ezpw08iv9,43,127,british alternative rock,https://i.scdn.co/image/ab67616d00004851ce0aba43c6cb48d8517d26df
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,spotify:track:64dLd6rVqDLtkXFYrEUHIU,79,108,alternative hip hop,https://i.scdn.co/image/ab67616d00004851fda889bb57058a4a1b88edcd
Where The Streets Have No Name - Remastered,U2,spotify:track:4qgZs0RNjdzKAS22lP0QjY,67,126,"irish rock, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851b7bea3d01f04e6d0408d2afe
Ich will,Rammstein,spotify:track:3X0K6fII7VIwL1URPrp8Ko,68,128,"alternative metal, german metal, industrial, industrial metal, industrial rock, neue deutsche harte",https://i.scdn.co/image/ab67616d000048518b2c42026277efc3e058855b
Remedy,The Black Crowes,spotify:track:217a9W3cZ3ur40RFQW2pTo,58,160,"album rock, blues rock, classic rock, hard rock, jam band, pop rock, rock, southern rock",https://i.scdn.co/image/ab67616d000048518d02d37cd208d1cb2e0d29a4
Kill Or Be Killed,Muse,spotify:track:4scqfHWE0J9dgdbjqstjS3,62,125,"puerto rican pop, trap latino",https://i.scdn.co/image/ab67616d0000485142c90d53e8c596285e8f59ff
Life on Mars? - 2015 Remaster,David Bowie,spotify:track:3ZE3wv8V3w2T2f7nOCjV0N,70,123,"classic rock, glam rock, rock",https://i.scdn.co/image/ab67616d00004851e464904cc3fed2b40fc55120
Autumn,Green Lizard,spotify:track:0z7pgsKNyK9kSQ3BTDpqRu,20,148,"australian indie, australian psych, double drumming, microtonal, neo-psychedelic",https://i.scdn.co/image/ab67616d0000485135214603f7749ea33a12979f
Hey Boy Hey Girl,The Chemical Brothers,spotify:track:7kXmJwrZGIhDaLT9sNo3ut,64,127,"alternative dance, big beat, breakbeat, electronica, new rave, rave",https://i.scdn.co/image/ab67616d0000485129dc59785f4c767fcbfc9e38
Throne,Bring Me The Horizon,spotify:track:0M3adYbGtyRHACP86dey1H,73,144,"melodic metalcore, metalcore, rock, uk metalcore",https://i.scdn.co/image/ab67616d00004851736145b97bab8fa92cb6113f
Riders on the Storm,The Doors,spotify:track:14XWXWv5FoCbFzLksawpEe,72,104,"acid rock, classic rock, psychedelic rock, rock",https://i.scdn.co/image/ab67616d0000485120783882533e669760741df2
Happier Than Ever,Billie Eilish,spotify:track:4RVwu0g32PAqgUiJoXsdF8,87,81,indie hip hop,https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e
Fire,Kasabian,spotify:track:0Ln5tJyLX5qusquBOtq7wf,66,117,"alternative rock, britpop, garage rock, indie rock, leicester indie, modern rock, rock",https://i.scdn.co/image/ab67616d00004851358f726999166b87f00e7066
Blind,Korn,spotify:track:1pr9TZGOXeJUggIal1Wq3R,67,92,"alternative metal, funk metal, nu metal, rap metal, rock",https://i.scdn.co/image/ab67616d000048517153b1cf6ee990c2a9fa46cc
Personal Jesus - Single Version,Depeche Mode,spotify:track:4UCTgh5jvtqoaMX6MAhUNn,67,130,"dance rock, new romantic, new wave, permanent wave, synthpop",https://i.scdn.co/image/ab67616d000048510a7d45a345534966a4ad2c39
I Think I'm Paranoid - 2018 - Remaster,Garbage,spotify:track:3LVHIqnIsnrcK1x4Ns2xNb,55,114,"hip hop, rap",https://i.scdn.co/image/ab67616d000048510e33c285348354b7db6dff68
Farewell To The Fairground,White Lies,spotify:track:09v3dFgd3YwrD0U5gkNaTg,57,118,kentucky hip hop,https://i.scdn.co/image/ab67616d0000485132fc28e3e988cd9911429b88
Input Source Select - Vinticious Version,De Staat,spotify:track:2fgv0uv2SLY2f0OWuv4OYT,39,95,"dutch indie, dutch indie rock, dutch rock",https://i.scdn.co/image/ab67616d000048511cc4124a3ef34859a988d7f4
Wuthering Heights,Kate Bush,spotify:track:5YSI1311X8t31PBjkBG4CZ,69,125,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",https://i.scdn.co/image/ab67616d0000485130da683c0c018535adbaf0e5
Show Me How to Live,Audioslave,spotify:track:1Qdnvn4XlmZANCVy3XjrQo,69,89,"alternative metal, alternative rock, nu metal, permanent wave, post-grunge, rock, supergroup",https://i.scdn.co/image/ab67616d00004851a7292b6863258e889b78d787
Human Behaviour,Björk,spotify:track:6Kz3o55LxMA11GbvFXHFtX,54,109,"art pop, electronica, experimental pop, experimental vocal, icelandic experimental, icelandic pop, icelandic singer-songwriter, metropopolis, permanent wave",https://i.scdn.co/image/ab67616d00004851768d171a47a3adae90c7c48a
Reflektor,Arcade Fire,spotify:track:7uMZy0bALAdneerERyr7Ks,55,112,"baroque pop, canadian indie, indie rock, modern rock, permanent wave, quebec indie, rock",https://i.scdn.co/image/ab67616d00004851678bfbaf23b8dfa454017b0b
Give It Away,Red Hot Chili Peppers,spotify:track:0uppYCG86ajpV2hSR3dJJ0,72,92,"alternative rock, funk metal, funk rock, permanent wave",https://i.scdn.co/image/ab67616d00004851153d79816d853f2694b2cc70
Novocaine For The Soul,Eels,spotify:track:4uPi47C1WcnhIbvCx4zCu6,57,169,"alternative rock, melancholia, pop rock",https://i.scdn.co/image/ab67616d00004851a012f8d35d244400472d4966
Still into You,Paramore,spotify:track:1yjY7rpaAQvKwpdUliHx0d,79,136,"candy pop, pixie, pop emo, pop punk",https://i.scdn.co/image/ab67616d00004851e71a5005c37e8c2ffd9beda8
Purple Rain,Prince,spotify:track:54X78diSLoUDI3joC2bjMz,74,113,,https://i.scdn.co/image/ab67616d00004851d52bfb90ee8dfeda8378b99b
Chasing Cars,Snow Patrol,spotify:track:5hnyJvgoWiQUYZttV4wXy6,80,104,"irish rock, neo mellow, permanent wave, pop rock, rock",https://i.scdn.co/image/ab67616d000048515da2756220da9b6f17924f8f
Cherub Rock - Remastered 2011,The Smashing Pumpkins,spotify:track:0F2LiyHp9E0pAanpfnzHNp,58,87,"alternative metal, alternative rock, grunge, permanent wave, pop rock, rock, spacegrunge",https://i.scdn.co/image/ab67616d00004851fd1e7c26933d06af2fd0afe6
Midnight City,M83,spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,75,105,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop",https://i.scdn.co/image/ab67616d00004851b3591763154a27326b3f431a
Going Under,Evanescence,spotify:track:3UygY7qW2cvG9Llkay6i1i,72,175,alternative metal,https://i.scdn.co/image/ab67616d0000485125f49ab23f0ec6332efef432
Coffee & TV,Blur,spotify:track:5eSllZgRWCIJsDTAqFRwQw,62,122,"contemporary r&b, dance pop, hip pop, neo soul, r&b, urban contemporary",https://i.scdn.co/image/ab67616d0000485194983882a5effd77742a9f52
Whiskey In The Jar,Metallica,spotify:track:2R6UrJ8uWbSIiHWmvRQvN8,74,133,"hard rock, metal, old school thrash, rock, thrash metal",https://i.scdn.co/image/ab67616d0000485175e6375e11550746705a9645
Uncertain Smile,The The,spotify:track:31alFPGPYXPTGLQfmkp8fh,50,143,"canadian contemporary r&b, canadian pop, pop",https://i.scdn.co/image/ab67616d000048511bbff7a308778b39fc8c08ba
Happy Birthday In The Sky,Placebo,spotify:track:5KWeo2hRMuHcZEg4Qb8NJr,37,112,reggaeton mexicano,https://i.scdn.co/image/ab67616d00004851f2ba81d05aa11467a5fd38fe
Iris,The Goo Goo Dolls,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,73,156,"neo mellow, permanent wave, pop rock",https://i.scdn.co/image/ab67616d00004851d54c4b12c9242bda37f4bb25
Stand My Ground,Within Temptation,spotify:track:7Chqf4yGnQlLWAWic9b0ET,53,176,"alternative metal, metalcore, screamo, trancecore, uk metalcore",https://i.scdn.co/image/ab67616d0000485116d52d18fcd5e310f2e2ffb1
Lies,CHVRCHES,spotify:track:73vllOpuLXzUu1bycglv5L,29,105,"brostep, dance pop, edm, pop, pop dance, progressive electro house",https://i.scdn.co/image/ab67616d00004851ff7e0dbc7da86345516bb0a9
Raining Blood,Slayer,spotify:track:4fiOTntQKr24p07FvQDHZE,64,87,"atl trap, vapor trap",https://i.scdn.co/image/ab67616d000048511530f31c8d4197777b70ee5d
Kids,MGMT,spotify:track:1jJci4qxiYcOHhQR247rEU,77,123,"alternative dance, indietronica, modern rock, rock",https://i.scdn.co/image/ab67616d000048518b32b139981e79f2ebe005eb
Hurt,Nine Inch Nails,spotify:track:27tX58NOpv1YKQ0abW7EPy,55,80,"alternative metal, alternative rock, cyberpunk, electronic rock, industrial, industrial metal, industrial rock, nu metal, rock",https://i.scdn.co/image/ab67616d00004851786dc008f4d6fcf34ca8fd7e
the angel of 8th ave.,Gang of Youths,spotify:track:3ono1eRCqwTW9PJMx9u2Ru,48,90,"australian indie, modern rock",https://i.scdn.co/image/ab67616d0000485141892ebb6904966e6610fb16
Whole Lotta Love - 1990 Remaster,Led Zeppelin,spotify:track:0hCB0YR03f6AmQaHbwWDe8,76,90,"album rock, classic rock, hard rock, rock",https://i.scdn.co/image/ab67616d00004851fc4f17340773c6c3579fea0d
Yellow,Coldplay,spotify:track:3AJwUDP919kvQ9QcozQPxg,88,173,"permanent wave, pop",https://i.scdn.co/image/ab67616d000048513d92b2ad5af9fbc8637425f0
Them Bones (2022 Remaster),Alice In Chains,spotify:track:4A065x9kJt955eGVqf813g,68,165,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",https://i.scdn.co/image/ab67616d000048511cd131e5e9ad887ad8c1ecb7
This Is Happening,4B2M,spotify:track:2bN8iJl8UhX7VdLb7MdnKg,28,164,"anime score, japanese soundtrack",https://i.scdn.co/image/ab67616d00004851a886d5527335455414131efe
Living in Another World - 1997 Remaster,Talk Talk,spotify:track:03d3DCqwvt65Orfdomjs6e,52,111,,https://i.scdn.co/image/ab67616d0000485147ee1d155222cd13cc9d64cd
Oblivion,Royal Blood,spotify:track:3Ye5icBka8ODjcaEQakPvZ,61,112,"ccm, christian pop",https://i.scdn.co/image/ab67616d00004851712b9c0f9a8d380e26a95c1c
London Rain (Nothing Heals Me Like You Do),Heather Nova,spotify:track:788yENksmgADTH7JZFaHfp,38,102,"lilith, new wave pop, pop rock, singer-songwriter",https://i.scdn.co/image/ab67616d00004851be3608f1c46bb6c73403ab02
Fluorescent Adolescent,Arctic Monkeys,spotify:track:2x8evxqUlF0eRabbW2JBJd,78,112,"garage rock, modern rock, permanent wave, rock, sheffield indie",https://i.scdn.co/image/ab67616d00004851b1f8da74f225fa1225cdface
Badlands,Bruce Springsteen,spotify:track:0M1YQiRGel1tTMjA3orfRd,57,123,"classic rock, heartland rock, mellow gold, permanent wave, rock, singer-songwriter",https://i.scdn.co/image/ab67616d00004851e2bb936c55fb54b0b9fdc666
Territorial Pissings,Nirvana,spotify:track:6oZYLz0vZy8HhqwioRYtTp,58,183,"grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851fbc71c99f9c1296c56dd51b6
Last Nite,The Strokes,spotify:track:7kzKAuUzOITUauHAhoMoxA,73,104,"alternative rock, garage rock, modern rock, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851a388a3f20d1bf2123249cc79
Drive,R.E.M.,spotify:track:3geRffSf6eAruhg23RkpKV,63,143,"dance pop, pop",https://i.scdn.co/image/ab67616d00004851ace3e7aae0b7c78bbe1c4f35
On Melancholy Hill,Gorillaz,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,76,120,alternative hip hop,https://i.scdn.co/image/ab67616d00004851661d019f34569f79eae9e985
Elderly Woman Behind the Counter in a Small Town - Remastered,Pearl Jam,spotify:track:5lHgBqh9VwAAzQma55gHRY,64,61,"alternative rock, grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851777344aba9d5b5785b4593a5
Take A Look Around,Limp Bizkit,spotify:track:2avKuMN2QXkaG9vvHa2JLt,72,102,"alternative metal, funk metal, nu metal, rap metal",https://i.scdn.co/image/ab67616d000048514a31b146c7cf07705d912efe
Space,Biffy Clyro,spotify:track:20wnO4hGXbWvIPDEmED8gM,56,157,"modern rock, rock, scottish rock",https://i.scdn.co/image/ab67616d00004851178ed3a665dbf47a233246b0
Our Darkness,Anne Clark,spotify:track:09QcX1GC5LylW50EaLBAT5,49,130,"new romantic, synthpop",https://i.scdn.co/image/ab67616d00004851295c1509bd694fbc0a5fd99e
Radioactive,Imagine Dragons,spotify:track:62yJjFtgkhUrXktIoSjgP2,79,136,"modern rock, rock",https://i.scdn.co/image/ab67616d00004851407bd04707c463bbb3410737
Stockholm Syndrome,Muse,spotify:track:5VVWgWH8HFLAtM8lbttvn9,59,128,"puerto rican pop, trap latino",https://i.scdn.co/image/ab67616d000048518cb690f962092fd44bbe2bf4
Fake Plastic Trees,Radiohead,spotify:track:73CKjW3vsUXRpy3NnX4H7F,71,74,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",https://i.scdn.co/image/ab67616d000048519293c743fa542094336c5e12
All Along the Watchtower,Jimi Hendrix,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,76,113,"acid rock, album rock, blues rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",https://i.scdn.co/image/ab67616d00004851522088789d49e216d9818292
B.Y.O.B.,System Of A Down,spotify:track:0EYOdF5FCkgOJJla8DI2Md,76,101,"alternative metal, nu metal, rap metal",https://i.scdn.co/image/ab67616d00004851c65f8d04502eeddbdd61fa71
God Is a DJ,Faithless,spotify:track:1pUFYb9peWkK8m1WCKNRjp,58,131,"alternative metal, modern rock, screamo",https://i.scdn.co/image/ab67616d00004851828cfb835d229a32720bc6af
Is Everybody Going Crazy?,Nothing But Thieves,spotify:track:75yY1Ghs6E32WC4kSikXRJ,57,124,"alternative pop rock, modern alternative rock, modern rock, rock",https://i.scdn.co/image/ab67616d0000485114030d39d060db78d004f2ed
Lucky Man,The Verve,spotify:track:2mxPSHEwjJWOQS7lGw6btF,66,76,"alternative rock, britpop, permanent wave, pop rock, rock, shoegaze",https://i.scdn.co/image/ab67616d00004851c038b03e66fb6de76a5b3904
Mad About You,Hooverphonic,spotify:track:5drK2kTE2mrUdV33iHWyrx,60,170,"downtempo, electronica, trip hop",https://i.scdn.co/image/ab67616d00004851adc391e06a1ecdc2cb4d193f
No Sleep Till Brooklyn,Beastie Boys,spotify:track:5qxChyzKLEyoPJ5qGrdurN,66,97,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock",https://i.scdn.co/image/ab67616d00004851a7ea08ab3914c5fb2084a8ac
Kyoto,Phoebe Bridgers,spotify:track:4vjvx7Zxkb4AltGcZ0BBvI,71,131,"indie pop, la indie",https://i.scdn.co/image/ab67616d00004851a91b75c9ef65ed8d760ff600
Everybody Knows,JOHAN,spotify:track:2OuuFB1NiacCLyaCz4fuC8,23,122,"indie pop, pop",https://i.scdn.co/image/ab67616d00004851f98e3d5a9bd86fd9f4940963
Firestarter,The Prodigy,spotify:track:79CUrU5o2KAVDTNm4x3eGU,63,142,"big beat, breakbeat, dance rock, hardcore techno, rave",https://i.scdn.co/image/ab67616d00004851fa0b74121608a007af87a3fe
Sorry - Live @ Lowlands 2009,Kyteman,spotify:track:6hc64mekJCLdJuRkPHggG6,40,138,"dutch indie, jazz rap",https://i.scdn.co/image/ab67616d000048516ba8f0d1cb5dad2e300ad7bb
A Ton of Love,Editors,spotify:track:7aFAM7XDfFmCJEDuEGhRK3,45,142,"alternative dance, britpop, indie rock, modern rock, rock",https://i.scdn.co/image/ab67616d000048514fbe7fdee81b25d929e30fd9
"Paint It, Black",The Rolling Stones,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,80,159,"british invasion, classic rock, rock",https://i.scdn.co/image/ab67616d00004851bad7062c3fd2f2d037989694
When You Were Young,The Killers,spotify:track:70wYA8oYHoMzhRRkARoMhU,76,130,"alternative rock, dance rock, permanent wave, rock",https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e
Hallelujah,Jeff Buckley,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,70,97,"art rock, melancholia, permanent wave, rock, singer-songwriter",https://i.scdn.co/image/ab67616d000048516a760642a56847027428cb61
The Gathering,Frank Turner,spotify:track:1NByMwpOZY69Mmy4l7jYRF,25,144,"acoustic rock, folk punk",https://i.scdn.co/image/ab67616d0000485173a1e0b9f71f9dea7b049f42
Fools Gold - Remastered,The Stone Roses,spotify:track:2mv6GY70UsHiTCGQZ4JfgC,59,113,"alternative rock, britpop, dance rock, madchester, modern rock, rock",https://i.scdn.co/image/ab67616d00004851cf1f6466a493eb73d6d9d280
Through Glass,Stone Sour,spotify:track:5NeIONQWJ25uPylJBJiO4c,70,106,"alternative metal, nu metal, post-grunge, rap rock, rock",https://i.scdn.co/image/ab67616d00004851b424aeb510016daa1bc0251c
Go,Moby,spotify:track:0e8C9dPERvvARURkNOFrrC,52,126,meme rap,https://i.scdn.co/image/ab67616d00004851910f382c8547679ccfe3b736
Shake It Out - Live At Madison Square Garden,Florence + The Machine,spotify:track:6CF4CZYixvGZgqexfcDXYV,42,107,"baroque pop, pop, uk alternative pop",https://i.scdn.co/image/ab67616d0000485120bdd2559b75be3f3fb498b8
Like a hurricane,Neil Young,spotify:track:5Hh8DDJl3NgeDZfwps18AR,35,114,"baroque pop, cincinnati indie",https://i.scdn.co/image/ab67616d000048512093a46822f9174020671538
Bunker,Balthazar,spotify:track:7fhzES2ZyvdaD7jSwFOZrR,58,107,,https://i.scdn.co/image/ab67616d00004851627a7adf0ad98b2e2f0c50d3
Island In The Sun,Weezer,spotify:track:2MLHyLy5z5l5YRp7momlgw,77,115,"alternative rock, modern power pop, modern rock, permanent wave, rock",https://i.scdn.co/image/ab67616d000048511e0dc5baaabda304b0ad1815
Violet,Hole,spotify:track:6CHENx8iqzMwavTIz8s0gm,62,167,"contemporary country, country, pop",https://i.scdn.co/image/ab67616d00004851be245e5b673371e6f95b19e2
Bigmouth Strikes Again - 2011 Remaster,The Smiths,spotify:track:2OErSh4oVVAUll0vHxdr6p,69,135,"madchester, new wave, permanent wave, rock, uk post-punk",https://i.scdn.co/image/ab67616d00004851ada101c2e9e97feb8fae37a9
Guaranteed,Eddie Vedder,spotify:track:4LGF2tDg3878bs0mQPByZ4,60,101,"alternative metal, alternative rock, grunge, modern rock, nu metal, pop rock, post-grunge, rock",https://i.scdn.co/image/ab67616d000048513ed52339ae78ac1b695e8d80
You Oughta Know - 2015 Remaster,Alanis Morissette,spotify:track:3jS7bB0oXVOwGFZn3aE5NV,67,105,"canadian pop, canadian singer-songwriter, pop rock, singer-songwriter",https://i.scdn.co/image/ab67616d00004851242e643ea07118ecf677a6ef
Pikachu,De Staat,spotify:track:6TYc5mEf9VrAHsNlPJV1eu,35,120,"dutch indie, dutch indie rock, dutch rock",https://i.scdn.co/image/ab67616d000048514654c2878001bd8d7a7ae2ce
The Whole of the Moon - 2004 Remaster,The Waterboys,spotify:track:1LzFh1VZ0FLeUesOFEuhyl,66,106,"art rock, celtic rock, new wave pop, rock, scottish new wave, scottish rock, singer-songwriter",https://i.scdn.co/image/ab67616d00004851f74c4e155d96ffed4b759b59
Roots Bloody Roots,Sepultura,spotify:track:6ursmCnbc9oDRGa2yHKkoZ,61,120,"alternative metal, brazilian groove metal, brazilian metal, brazilian thrash metal, death metal, deathrash, groove metal, hard rock, latin metal, metal, metal mineiro, nu metal, old school thrash, rock, thrash metal",https://i.scdn.co/image/ab67616d000048510bd5e7cce9765c2ef519424e
Lavinia,The Veils,spotify:track:1Tn31wDSYGPyFlKRLLFfq9,38,183,modern alternative rock,https://i.scdn.co/image/ab67616d000048519ae8058e7bfebc5235cbb6d7
These Days,Foo Fighters,spotify:track:2kN05N1AQQplsgFweFAqYb,63,135,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",https://i.scdn.co/image/ab67616d00004851cdac19bbaee5cc123edcc26f
Bleed It Out,Linkin Park,spotify:track:0UFDKFqW2oGspYeYqo9wjA,76,140,"alternative metal, nu metal, post-grunge, rap metal",https://i.scdn.co/image/ab67616d0000485146e207de66ba06422897f769
Round Here,Counting Crows,spotify:track:35qwJUKVy1OIt0wQ3xEXi0,60,94,"alternative rock, neo mellow, pop rock, rock",https://i.scdn.co/image/ab67616d000048517e09670f90cd47b3fb9a23e0
The Emperor,YUNGBLUD,spotify:track:1Gkfh1jNNFJPh3vcCSGi3J,54,160,"ohio hip hop, pop, pop rap",https://i.scdn.co/image/ab67616d00004851e29f8c49573deac2df322c3e
Once in a Lifetime - 2005 Remaster,Talking Heads,spotify:track:38Ngied9rBORlAbLYNCl4k,67,117,"art punk, art rock, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",https://i.scdn.co/image/ab67616d00004851e56fa8c916dc6ce419dcf557
The Day That Never Comes,Metallica,spotify:track:13Uvqll8OQDjw3wDweIK9y,64,127,"hard rock, metal, old school thrash, rock, thrash metal",https://i.scdn.co/image/ab67616d00004851f5802466e1bc84cdf51d97e2
Wake Me up When September Ends,Green Day,spotify:track:3ZffCQKLFLUvYM59XKLbVm,77,105,"permanent wave, punk",https://i.scdn.co/image/ab67616d0000485108a1b1e0674086d3f1995e1b
Matilda,alt-J,spotify:track:3Omo6RPmbEQvdE9BwuScVB,59,148,"indie rock, modern rock",https://i.scdn.co/image/ab67616d00004851bcbec7d1bae62a13b14de1e5
Welcome To The Jungle,Guns N' Roses,spotify:track:0bVtevEgtDIeRjCJbK3Lmv,79,123,"glam metal, hard rock, rock",https://i.scdn.co/image/ab67616d0000485168384dd85fd5e95831252f60
Angel,Massive Attack,spotify:track:7uv632EkfwYhXoqf8rhYrg,62,107,"downtempo, electronica, trip hop",https://i.scdn.co/image/ab67616d000048512fcb0a3c7a66e516b11cd26e
Fell On Black Days,Soundgarden,spotify:track:1wlKw9NAWVWpx7OIAyg9EA,66,101,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",https://i.scdn.co/image/ab67616d00004851ae6d8e36136353d550b2587d
Here Comes The Sun - Remastered 2009,The Beatles,spotify:track:6dGnYIeXmHdcikdzNNDMm2,81,129,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",https://i.scdn.co/image/ab67616d00004851dc30583ba717007b00cceb25
Try Better Next Time,Placebo,spotify:track:6e1B6zfV5BNFsK5OQJ31Ic,38,119,reggaeton mexicano,https://i.scdn.co/image/ab67616d00004851f2ba81d05aa11467a5fd38fe
If I Ever Leave This World Alive,Flogging Molly,spotify:track:6l6UyIBwaNibzWZKfGkmJW,56,105,"celtic punk, celtic rock, comic, punk, skate punk",https://i.scdn.co/image/ab67616d0000485120195c851e88b96e21181de4
What's My Age Again?,blink-182,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,79,158,"pop punk, punk, rock, socal pop punk",https://i.scdn.co/image/ab67616d000048516da502e35a7a3e48de2b0f74
Strange Entity,Oscar and the Wolf,spotify:track:0wYHz9rLGFjEyFrD7mpsr3,48,115,belgian techno,https://i.scdn.co/image/ab67616d000048515079adf280fba57b5c72530e
Debaser,Pixies,spotify:track:5cy5IStIn7OSHDEIgXeDyq,63,136,"alternative rock, boston rock, modern rock, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851cafe9404f872e4c0e91a8cc8
Find The River,R.E.M.,spotify:track:1e3Q7gE5TRUklXOlZFKIrv,56,145,"dance pop, pop",https://i.scdn.co/image/ab67616d00004851ace3e7aae0b7c78bbe1c4f35
You're Mine,IST IST,spotify:track:2MNfpLPVSlj5b8hC0w1ahT,25,155,manchester indie,https://i.scdn.co/image/ab67616d00004851d289762e01e42c711effbcf3
