name_track,artist_track,uri_track,popularity,tempo,genres,urlImage
Little Black Submarines,The Black Keys,spotify:track:1PXsUXSM3LF2XNSkmIldPb,64,95,"alternative rock, blues rock, garage rock, modern blues rock, modern rock, punk blues, rock, roots rock",https://i.scdn.co/image/ab67616d000048516a21b97de47168df4f0c1993
Freak On a Leash,Korn,spotify:track:6W21LNLz9Sw7sUSNWMSHRu,75,103,"alternative metal, funk metal, nu metal, rap metal, rock",https://i.scdn.co/image/ab67616d0000485150d216aebaf98e8ac9947fd5
Back To Black,Amy Winehouse,spotify:track:3FAclTFfvUuQYnEsptbK8w,80,123,"dance pop, pop",https://i.scdn.co/image/ab67616d0000485176ffb5b5ab045d22c81235c1
Jeremy,Pearl Jam,spotify:track:62nQ8UZVqR2RMvkJHkcO2o,70,109,"alternative rock, grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851d400d27cba05bb0545533864
Impossible,Nothing But Thieves,spotify:track:4ZEvO7TZQTbUGJzqjcPFDD,57,83,"alternative pop rock, modern alternative rock, modern rock, rock",https://i.scdn.co/image/ab67616d0000485114030d39d060db78d004f2ed
Running Up That Hill (A Deal With God),Kate Bush,spotify:track:75FEaRjZTKLhTrFGsfMUXR,87,108,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",https://i.scdn.co/image/ab67616d0000485196ab64f52273635308b6bf27
Take Me Out,Franz Ferdinand,spotify:track:20I8RduZC2PWMWTDCZuuAN,78,105,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock",https://i.scdn.co/image/ab67616d0000485109a90531b85be7899c3234c4
Hunger Strike,Temple Of The Dog,spotify:track:0W7AbEauB7cP4pidLclApe,67,138,"alternative metal, alternative rock, grunge, hard rock, nu metal, pop rock, rock, supergroup",https://i.scdn.co/image/ab67616d00004851483c3d93af76b1f635f9dc7d
How Not To Drown (feat. Robert Smith),CHVRCHES,spotify:track:6Hqj8TOps7LeWwPCIyrder,38,86,"brostep, dance pop, edm, pop, pop dance, progressive electro house",https://i.scdn.co/image/ab67616d000048517625a4b6e1461c143e7b76a0
Break Stuff,Limp Bizkit,spotify:track:5cZqsjVs6MevCnAkasbEOX,77,109,"alternative metal, funk metal, nu metal, rap metal",https://i.scdn.co/image/ab67616d000048513783782de74f61e36795bf9c
The Funeral,Band of Horses,spotify:track:5lRzWDEe7UuedU2QPsFg0K,70,122,"indie rock, modern rock, stomp and holler",https://i.scdn.co/image/ab67616d00004851024bdaecebd5e9d3b6a0949e
