"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres"
"spotify:track:5PEMK25bTlaTzSZB56pxyv","Las Caleñas Son Como Las Flores","spotify:artist:2AiZXMqpVlCDnz3trZbWaK","The Latin Brothers","spotify:album:0EJRlYjvVcym9K4wrww9vB","Narcos, Vol. 2 (More Music from the Netflix Original Series)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-09-02","https://i.scdn.co/image/ab67616d0000b2733ff5449cbea83c1343bb3c63","1","4","236026","https://p.scdn.co/mp3-preview/84c83e99c78bd0416d9df941f525a269b86e7c09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:josue123452002","2022-07-25T04:01:01Z","cumbia,salsa,salsa colombiana,tropical"
"spotify:track:6xNpqeKBaQzm0nmO24LqCt","Sigue Tu Camino","spotify:artist:1c84wItoiAe1pEbpJMqUmQ","Oscar D'León","spotify:album:6RGg1pBAO1DeQqC4aH9zbf","24 Oscares","spotify:artist:1c84wItoiAe1pEbpJMqUmQ","Oscar D'León","2006-06-05","https://i.scdn.co/image/ab67616d0000b2732e9ab4f41825e3b34882dcc5","1","9","228911","https://p.scdn.co/mp3-preview/66256ea4069e71706afaec8296dd08a13d3b9dad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:josue123452002","2022-07-25T04:01:04Z","salsa,salsa venezolana,tropical"
"spotify:track:2b4rPKZm5ejLhgp3WzmJHM","Las Caleñas","spotify:artist:33ZuRLa8CHXZVPJXdQCcul","Alberto Barros","spotify:album:4Ze64cXwSB5KkjF0J8sfkj","Tributo a La Cumbia Colombiana","spotify:artist:33ZuRLa8CHXZVPJXdQCcul","Alberto Barros","2014-01-31","https://i.scdn.co/image/ab67616d0000b273ccd66c50bb2afc0d5fd8c486","1","12","225666","https://p.scdn.co/mp3-preview/f6e23303cf1c41843e1fdf024e12b4de3ac9e21c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:josue123452002","2022-07-25T04:01:10Z","modern salsa,salsa,salsa colombiana,tropical"
"spotify:track:35qh3wezE1lfdObTQpJV7C","La Zenaida","spotify:artist:5f5z4wggh1hbr6Dg0BnoCe, spotify:artist:1uiEaU2CF0ypsPwXXYrm7V","Armando Hernandez, El Combo Caribe","spotify:album:6kYrAOmvOl0sr7AALZRr6f","Éxitos Armando Hernández","spotify:artist:5f5z4wggh1hbr6Dg0BnoCe","Armando Hernandez","2012-07-18","https://i.scdn.co/image/ab67616d0000b2732cfdcf5c1170f4e59abd9bcf","1","3","268230","https://p.scdn.co/mp3-preview/7d8d4709d9c54283e0c9172f3a9871c39c508cde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:josue123452002","2022-07-25T04:01:26Z","chicha,cumbia,musica popular colombiana,porro,tropical"
